channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)",local_composite_score,global_composite_score
AlvinBlox,Playing My Old Roblox Games...,https://www.youtube.com/watch?v=lW3BgRRUEvI,2021-01-02,11:31,253320,6429,917,playingmyoldrobloxgames.txt,2,0.18493662199311317,1.5952209341886896
AlvinBlox,Events - Roblox Scripting Tutorial,https://www.youtube.com/watch?v=IcASLddinOk,2021-03-21,14:20,286688,10578,893,eventsrobloxscriptingtutorial.txt,2,0.46731554049670326,1.8885204482728721
AlvinBlox,Insert objects via a script - Instance.new() - Beginner Scripting Tutorial #6,https://www.youtube.com/watch?v=NM297KOSvoE,2021-05-23,12:18,174142,4524,851,insertobjectsviaascriptinstancenewbeginnerscriptingtutorial6.txt,2,0.5119227591365589,1.424817040611477
AlvinBlox,VARIABLES - Roblox Beginner Scripting Tutorial #5,https://www.youtube.com/watch?v=Orfa7sGYTds,2021-04-10,13:02,166747,5375,617,variablesrobloxbeginnerscriptingtutorial5.txt,2,0.5273809406177681,1.1515748197289462
AlvinBlox,How to make a LIVE EVENT - Roblox Tutorial,https://www.youtube.com/watch?v=spFZ44yqIII,2020-06-01,14:25,170822,6167,1008,howtomakealiveeventrobloxtutorial.txt,2,0.5781314986493887,1.4154679554155123
AlvinBlox,Functions - Roblox Scripting Tutorial,https://www.youtube.com/watch?v=l8yVbGsiL4o,2021-03-16,10:59,327932,11378,887,functionsrobloxscriptingtutorial.txt,2,0.598057780680369,1.9726884488625156
AlvinBlox,I Made A Tower Defense Game On Roblox,https://www.youtube.com/watch?v=SznGlh0IWR8,2021-07-18,10:35,208143,4506,707,imadeatowerdefensegameonroblox.txt,2,0.6067124504455088,1.340858530415318
AlvinBlox,Text Typewriter Effect in GUIs - Roblox Scripting Tutorial,https://www.youtube.com/watch?v=RLXjta2F7Zw,2020-07-04,8:58,219429,6375,1541,texttypewritereffectinguisrobloxscriptingtutorial.txt,2,0.6734768392135949,2.145486271877559
AlvinBlox,How to make Squid Game in Roblox,https://www.youtube.com/watch?v=o2dc6F-CK1c,2021-10-15,1:02:16,176066,4195,917,howtomakesquidgameinroblox.txt,2,0.6886397881722932,1.6010206119231891
AlvinBlox,MAKE ADMIN COMMANDS - Roblox Scripting Tutorial (Advanced),https://www.youtube.com/watch?v=ZJE_xTzOdLs,2020-04-06,35:15:00,322038,7704,1213,makeadmincommandsrobloxscriptingtutorialadvanced.txt,2,0.7284036180975901,1.8900213839799573
AlvinBlox,How To Script On Roblox - 2 (Print and Debugging),https://www.youtube.com/watch?v=t_AVxdkp7vA,2021-03-09,6:04,306612,11365,559,howtoscriptonroblox2printanddebugging.txt,2,0.736674163300197,1.5509185346416612
AlvinBlox,Trigger Cutscenes To Play - Roblox Cutscene Script Tutorial #2,https://www.youtube.com/watch?v=FhZrWRiSqPY,2020-06-04,8:05,124545,3720,997,triggercutscenestoplayrobloxcutscenescripttutorial2.txt,2,0.8540110561871974,1.3273213401714479
AlvinBlox,Key Press Detection (Press E) - UserInputService - Advanced Roblox Scripting #2,https://www.youtube.com/watch?v=vujSeb6X2bE,2020-05-21,17:54,202506,4034,699,keypressdetectionpresseuserinputserviceadvancedrobloxscripting2.txt,2,0.8760323119559741,0.9699668766577455
AlvinBlox,"In Pairs Loops (i, v in pairs) - Roblox Beginner Scripting #18",https://www.youtube.com/watch?v=1ZAoVu9chN4,2020-03-19,55:30:00,155227,4803,881,inpairsloopsivinpairsrobloxbeginnerscripting18.txt,2,0.8789994212898808,1.147460657464496
AlvinBlox,How To Make A Shop On Roblox - Roblox Tool Shop GUI,https://www.youtube.com/watch?v=PgiVsm913Es,2020-05-23,48:43:00,141537,3415,954,howtomakeashoponrobloxrobloxtoolshopgui.txt,2,0.8883634891023151,1.2291757280639264
AlvinBlox,FIREBALL MAGIC - Scripting Tutorial (Roblox),https://www.youtube.com/watch?v=NIJqp5UuILg,2020-04-02,15:47,160573,3642,1131,fireballmagicscriptingtutorialroblox.txt,2,0.8908072232983981,1.3863399483099639
AlvinBlox,My Favourite PLUGINS in Roblox Studio,https://www.youtube.com/watch?v=lIsJQE4MJc4,2020-04-08,15:50,285023,8529,593,myfavouritepluginsinrobloxstudio.txt,2,0.8934408926044746,1.1535007143860803
AlvinBlox,Returning - Beginner Roblox Scripting Tutorial #8,https://www.youtube.com/watch?v=CrqSDVXaDhc,2019-11-17,12:09,230067,7832,870,returningbeginnerrobloxscriptingtutorial8.txt,2,0.899308765263531,1.262556972669888
AlvinBlox,Function Parameters / Arguments - Roblox Beginner Scripting #7,https://www.youtube.com/watch?v=bkp3OBs0oV0,2019-10-24,18:15,283711,8986,1044,functionparametersargumentsrobloxbeginnerscripting7.txt,2,0.9014025298312813,1.5795245019173987
AlvinBlox,A NEW way to make money on Roblox... PREMIUM PAYOUTS!,https://www.youtube.com/watch?v=oh89BQkBvBM,2020-03-02,5:23,214496,4123,791,anewwaytomakemoneyonrobloxpremiumpayouts.txt,2,0.9032131970150467,1.0366748313742487
AlvinBlox,PET INVENTORY & EQUIPPING PETS! Roblox Egg Hatching System Tutorial Part 2,https://www.youtube.com/watch?v=_GHJ-9vmbPE,2020-06-15,1:12:25,130215,3412,1240,petinventoryequippingpetsrobloxegghatchingsystemtutorialpart2.txt,2,0.9232229861999864,1.599978805687667
AlvinBlox,How To Make A Piggy Game In Roblox - Piggy / Granny Tutorial - Ep 3,https://www.youtube.com/watch?v=cvJRZVuhS3M,2020-04-27,56:13:00,128131,3014,1072,howtomakeapiggygameinrobloxpiggygrannytutorialep3.txt,2,0.9314531100166094,1.3757166668027647
AlvinBlox,OPEN GUI with a PART - Roblox Scripting Tutorial,https://www.youtube.com/watch?v=6r_PBSXzOmI,2020-03-25,10:46,182322,4453,712,openguiwithapartrobloxscriptingtutorial.txt,2,0.9445105209841136,0.9369819319018435
AlvinBlox,HOW TO FIX BUGS / ERRORS IN ROBLOX STUDIO,https://www.youtube.com/watch?v=PD-xwfhnxKs,2020-05-13,17:52,141134,3652,1280,howtofixbugserrorsinrobloxstudio.txt,2,0.9503255747765836,1.6201651478659707
AlvinBlox,How To Use ModuleScripts In Roblox Studio - Advanced Tutorial #1,https://www.youtube.com/watch?v=tT9gyw9127Y,2020-05-11,33:26:00,172912,3847,626,howtousemodulescriptsinrobloxstudioadvancedtutorial1.txt,2,0.9940181038562539,0.827840609355927
AlvinBlox,🐣 MAKE A ROBLOX EGG HUNT GAME! - Episode 1,https://www.youtube.com/watch?v=DhS5oexaE3w,2020-04-05,33:02:00,116292,3286,956,makearobloxegghuntgameepisode1.txt,2,1.0033293777403889,1.2222668553161684
AlvinBlox,Roblox Beginner Scripting - Functions (Ep 6),https://www.youtube.com/watch?v=1G2yXTxYM-8,2019-10-13,11:57,288108,10034,1028,robloxbeginnerscriptingfunctionsep6.txt,2,1.0154578252979791,1.6127492116877136
AlvinBlox,Events - Beginner Roblox Scripting #10 - [Long Edition],https://www.youtube.com/watch?v=cRu1EbcsJiQ,2019-12-01,53:10:00,259617,9433,1354,eventsbeginnerrobloxscripting10longedition.txt,2,1.019885482182108,1.968429293349839
AlvinBlox,"What Is CFrame? | Roblox CFrame Tutorial | LookVector, Angles & More!",https://www.youtube.com/watch?v=VxgNleUdmmg,2020-05-30,42:28:00,151533,3729,546,whatiscframerobloxcframetutoriallookvectoranglesmore.txt,2,1.0583894319088776,0.7553985513108368
AlvinBlox,HOW GUIs WORK! - Roblox GUI Scripting #1 / Beginner #23,https://www.youtube.com/watch?v=f91NF24xxjE,2020-03-30,9:20,168771,4405,511,howguisworkrobloxguiscripting1beginner23.txt,2,1.0738782947988381,0.683023153834291
AlvinBlox,Pet Saving - Roblox Egg Hatching System Part 3,https://www.youtube.com/watch?v=Hc8aY2pBwPk,2020-07-27,38:58:00,55640,1992,855,petsavingrobloxegghatchingsystempart3.txt,2,1.1168225924372939,1.3368420921802704
AlvinBlox,How To Make A Piggy Game In Roblox - Piggy / Granny Tutorial - Ep 4,https://www.youtube.com/watch?v=VZDkHZMtTO4,2020-04-28,56:23:00,120041,2212,771,howtomakeapiggygameinrobloxpiggygrannytutorialep4.txt,2,1.1527623345171,1.0728343642406335
AlvinBlox,[Map Voting] How To Make A Piggy Game In Roblox - Piggy / Granny Tutorial - Ep 6,https://www.youtube.com/watch?v=fMhNw1djopE,2020-04-30,23:20,83598,1635,950,mapvotinghowtomakeapiggygameinrobloxpiggygrannytutorialep6.txt,2,1.161163745759951,1.3634903843038868
AlvinBlox,Built In Functions - Roblox Scripting for Beginners #9,https://www.youtube.com/watch?v=Z1YjUcAYy7w,2019-11-24,15:35,166506,5099,527,builtinfunctionsrobloxscriptingforbeginners9.txt,2,1.1797985720439275,0.639218816009229
AlvinBlox,How To Make A Piggy Game In Roblox - Piggy / Granny Tutorial - Ep 5,https://www.youtube.com/watch?v=VOVg0vCuprQ,2020-04-29,1:15:27,120775,2197,670,howtomakeapiggygameinrobloxpiggygrannytutorialep5.txt,2,1.2061649082696602,0.9539270123009237
AlvinBlox,How To Make A Roblox Game,https://www.youtube.com/watch?v=Zi0_vNL8AYY,2023-04-04,26:12:00,290035,4856,939,howtomakearobloxgame.txt,2,1.2166590103556827,2.225950665879516
AlvinBlox,"If Statements - Beginner Roblox Scripting #11 - If, Then, Else",https://www.youtube.com/watch?v=qh7lyBRma6Q,2019-12-15,11:20,151330,4321,559,ifstatementsbeginnerrobloxscripting11ifthenelse.txt,2,1.2228447608288253,0.6721152747417969
